0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:25:08 +0900] "GET /test/resources/images/advertisement.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:25:08 +0900] "GET /test/resources/images/banner.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:25:08 +0900] "GET /test/resources/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:25:08 +0900] "GET /test/resources/js/jquery-3.3.1.min.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:25:08 +0900] "GET /test/resources/js/bootstrap.min.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:25:08 +0900] "GET /test/resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:25:08 +0900] "GET /test/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:25:08 +0900] "GET /test/resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:26:51 +0900] "GET /test/home.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:26:51 +0900] "GET /test/resources/js/bootstrap.min.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:26:51 +0900] "GET /test/resources/js/jquery-3.3.1.min.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:26:51 +0900] "GET /test/resources/images/banner.png HTTP/1.1" 200 3886
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:26:51 +0900] "GET /test/resources/css/bootstrap.css HTTP/1.1" 200 152767
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:26:51 +0900] "GET /test/resources/js/bootstrap.min.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:26:51 +0900] "GET /test/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:26:51 +0900] "GET /test/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:26:51 +0900] "GET /test/resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:26:58 +0900] "GET /test/cartoon/list.do HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:27:00 +0900] "GET /test/board_review/list.do HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:27:02 +0900] "GET /test/board_free/list.do HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [10/Jan/2021:01:27:11 +0900] "GET /test/cartoon/search.do?title= HTTP/1.1" 404 837
